Date,No of Persons,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER
,,Puttu,Puttu,Kadala,Kadala,Dosa,Dosa,Chutney,Chutney,Uppma,Uppma,Bread,Bread,Butter,Butter,Rice,Rice,Sambar,Sambar,Chicken Fry,Chicken Fry,Egg,Egg,Aviyal,Aviyal,Biriyani,Biriyani,Idiyappam,Idiyappam,Green_Peas,Green_Peas,Ghee Rice,Ghee Rice,Chicken Curry,Chicken Curry,Appam,Appam,Egg curry,Egg curry,Rice Soup,Rice Soup,Beans,Beans
,,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste
1,280,28,6.9,7,4.7,15,4.3,14,7.5,20,9.4,36,3.5,8,0,25,12.9,30,7,49,13.3,220,12.5,2,0.5,40,4.7,900,21.1,6,3.5,40,14.2,49,10,1000,20.3,220,13.4,10,3.2,2.5,1
2,299,29.9,8.6,7.475,4.4,16.01785714,6.1,14.95,7.5,21.35714286,8.3,38.44285714,3.6,8.542857143,0,26.69642857,12.7,32.03571429,7.9,52.325,15.2,234.9285714,12.9,2.135714286,1,42.71428571,4.8,961.0714286,19.2,6.407142857,3,42.71428571,15.5,52.325,11.6,1067.857143,21.9,234.9285714,13.7,10.67857143,3.1,2.669642857,1
3,268,26.8,2.3,6.7,1.2,14.35714286,2.4,13.4,3.4,19.14285714,3.6,34.45714286,2.5,7.657142857,0,23.92857143,4.4,28.71428571,5.9,46.9,5.6,210.5714286,9.8,1.914285714,0.2,38.28571429,1.1,861.4285714,14.9,5.742857143,1.7,38.28571429,5.1,46.9,0,957.1428571,10.1,210.5714286,6.8,9.571428571,1.2,2.392857143,0
4,256,25.6,2.1,6.4,1,13.71428571,2.7,12.8,3.3,18.28571429,1.8,32.91428571,1,7.314285714,0,22.85714286,9.9,27.42857143,4.9,44.8,6.8,201.1428571,9.3,1.828571429,0.4,36.57142857,3.8,822.8571429,10.7,5.485714286,1.6,36.57142857,3,44.8,1.1,914.2857143,9.9,201.1428571,9.7,9.142857143,2.9,2.285714286,0.4
5,288,28.8,5.2,7.2,4.9,15.42857143,7.6,14.4,8.7,20.57142857,7.8,37.02857143,3.6,8.228571429,0,25.71428571,15.9,30.85714286,7.2,50.4,12.5,226.2857143,13.7,2.057142857,1,41.14285714,4.7,925.7142857,26,6.171428571,3,41.14285714,13.6,50.4,12.1,1028.571429,20.8,226.2857143,12.2,10.28571429,5,2.571428571,1
6,291,29.1,7.3,7.275,4.3,15.58928571,5.6,14.55,6.7,20.78571429,9.5,37.41428571,3.3,8.314285714,0,25.98214286,14.5,31.17857143,8.8,50.925,12,228.6428571,11.9,2.078571429,1.1,41.57142857,6.5,935.3571429,18.7,6.235714286,3.2,41.57142857,9.2,50.925,13.8,1039.285714,21,228.6428571,11.5,10.39285714,4.1,2.598214286,1
7,283,28.3,8.5,7.075,4.4,15.16071429,6.6,14.15,7.8,20.21428571,8.2,36.38571429,3.4,8.085714286,0,25.26785714,11.6,30.32142857,8.1,49.525,13,222.3571429,12.5,2.021428571,1.2,40.42857143,6.6,909.6428571,23.1,6.064285714,3.5,40.42857143,14.5,49.525,13.2,1010.714286,21.9,222.3571429,11.1,10.10714286,4.8,2.526785714,1
1,275,27.5,5.1,6.875,3,14.73214286,5.9,13.75,8.4,19.64285714,8.7,35.35714286,3.5,7.857142857,0,24.55357143,14.2,29.46428571,7.1,48.125,9.4,216.0714286,12.2,1.964285714,1.2,39.28571429,5.5,883.9285714,18.5,5.892857143,3.7,39.28571429,18.9,48.125,10.2,982.1428571,20.7,216.0714286,13.2,9.821428571,5.2,2.455357143,1
